id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U008,a5importadora.com.br,https://a5importadora.com.br/product/cacarola-parma/,Caçarola Parma,0.582,0.0,2026-09-23T08:43:05,revisar,,347
U009,a5importadora.com.br,https://a5importadora.com.br/product/cacarola-parma/,Caçarola Parma,0.582,0.0,2026-09-23T08:43:05,revisar,,347
U010,a5importadora.com.br,https://a5importadora.com.br/product/cacarola-parma/,Caçarola Parma,0.582,0.0,2026-09-23T08:43:05,revisar,,347
U011,a5importadora.com.br,https://a5importadora.com.br/product/cacarola-parma/,Caçarola Parma,0.582,0.0,2026-09-23T08:43:05,revisar,,347
U047,a5importadora.com.br,https://a5importadora.com.br/product/frigideira-orleans/,Frigideira Orleans,0.571,0.0,2026-09-23T08:43:05,revisar,,327
U048,a5importadora.com.br,https://a5importadora.com.br/product/frigideira-orleans/,Frigideira Orleans,0.571,0.0,2026-09-23T08:43:05,revisar,,327
U057,a5importadora.com.br,https://a5importadora.com.br/product/panela-parma/,Panela Parma,0.533,0.0,2026-09-23T08:43:05,revisar,,344
U058,a5importadora.com.br,https://a5importadora.com.br/product/panela-parma/,Panela Parma,0.533,0.0,2026-09-23T08:43:05,revisar,,344
U059,a5importadora.com.br,https://a5importadora.com.br/product/panela-parma/,Panela Parma,0.533,0.0,2026-09-23T08:43:05,revisar,,344
U060,a5importadora.com.br,https://a5importadora.com.br/product/panela-parma/,Panela Parma,0.533,0.0,2026-09-23T08:43:05,revisar,,344
U061,a5importadora.com.br,https://a5importadora.com.br/product/panela-parma/,Panela Parma,0.533,0.0,2026-09-23T08:43:05,revisar,,344
U062,a5importadora.com.br,https://a5importadora.com.br/product/panela-parma/,Panela Parma,0.533,0.0,2026-09-23T08:43:05,revisar,,344
