id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U009,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/cacarola-hotel-38-20-4-litros-aluminio-abc/1797?cat=34,"Caçarola hotel 38 20,4 litros alumínio ABC",0.846,341.5,2026-09-23T08:54:42,aceito,,
U010,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/cacarola-hotel-em-aluminio-n-16-vigor/1803?cat=34,Caçarola Hotel em Alumínio Nº 16 Vigor,0.762,41.9,2026-09-23T08:55:31,aceito,,
U014,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caixa-plastica-organizadora-transparente-de-40-litros-ref-uz341-m-uz/1987?cat=34,Caixa plástica organizadora transparente de 40 litros ref. UZ341-M UZ.,0.695,,2026-09-23T09:02:59,aceito,,
U015,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34,Caixa Plástica com Tampa S-500 Supercron,0.571,69.7,2026-09-23T09:03:32,revisar,,
U016,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34,Caixa Plástica com Tampa S-500 Supercron,0.571,69.7,2026-09-23T09:04:32,revisar,,
U017,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34,Caixa Plástica com Tampa S-500 Supercron,0.571,69.7,2026-09-23T09:05:02,revisar,,
U018,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34,Caixa Plástica com Tampa S-500 Supercron,0.571,69.7,2026-09-23T09:05:44,revisar,,
U019,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34,Caixa Plástica com Tampa S-500 Supercron,0.571,69.7,2026-09-23T09:06:17,revisar,,
U020,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caldeirao-hotel-em-aluminio-com-tampa-n-20-vigor/2220?cat=34,Caldeirão Hotel em Alumínio com Tampa Nº 20 Vigor,0.818,71.8,2026-09-23T09:06:33,aceito,,
U021,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caldeirao-hotel-em-aluminio-com-tampa-n-30-vigor/2225?cat=34,Caldeirão Hotel em Alumínio com Tampa Nº 30 Vigor,0.818,276.5,2026-09-23T09:06:53,aceito,,
