id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U002,panan.com.br,https://www.panan.com.br/cozinha/utensilios/assadeira-perfurada-35x35-cm-em-aluminio-imeca,Assadeira Perfurada 35x35 cm em Alumínio Imeca,0.752,57.0,2026-09-22T14:51:52,aceito,,
U003,panan.com.br,https://www.panan.com.br/bar-hotel-e-restaurante/mesas-e-cadeiras/mesa-plastica-tambau-empilhavel-polipropileno-tramontina,Mesa Plástica Tambaú Empilhavel Polipropileno Tramontina,0.531,163.5,2026-09-22T14:53:09,revisar,,
U004,panan.com.br,https://www.panan.com.br/bar-hotel-e-restaurante/mesas-e-cadeiras/mesa-plastica-tambau-empilhavel-polipropileno-tramontina,Mesa Plástica Tambaú Empilhavel Polipropileno Tramontina,0.531,163.5,2026-09-22T14:54:16,revisar,,
U005,panan.com.br,https://www.panan.com.br/utilidades/caixas-e-estrados/caixa-plastica-61l-bolivar,Caixa Plástica 61L Branca - Bolivar,0.5,99.9,2026-09-23T09:49:47,revisar,volume pedida [20.0] e o produto traz [61.0],
U006,panan.com.br,https://www.panan.com.br/utilidades/caixas-e-estrados/caixa-plastica-61l-bolivar,Caixa Plástica 61L Branca - Bolivar,0.5,99.9,2026-09-23T09:50:09,revisar,volume pedida [25.0] e o produto traz [61.0],
U008,panan.com.br,https://www.panan.com.br/panela-cacarola-grande-de-aluminio-n30-9-8l-abc,"Panela Caçarola Grande de Alumínio N30 9,8L - ABC",0.726,186.9,2026-09-23T09:52:46,aceito,,
U009,panan.com.br,https://www.panan.com.br/utilidades/aluminios/cacarola-a-vapor-20-4-litros-32-cm-aluminio-abc-linha-hotel,"Caçarola a Vapor 20,4 Litros 32 cm Alumínio ABC Linha Hotel",0.74,470.0,2026-09-22T14:56:35,aceito,,
U010,panan.com.br,https://www.panan.com.br/utilidades/aluminios/cacarola-industrial-17-2l-aluminio-abc-linha-hotel-no36-com-tampa,"Caçarola Industrial 17,2L Alumínio ABC Linha Hotel Nº36 Com Tampa",0.714,420.9,2026-09-22T14:57:12,revisar,volume pedida [30.0] e o produto traz [17.2],
U011,panan.com.br,https://www.panan.com.br/panela-cacarola-grande-de-aluminio-n50-41-2l-abc,"Panela Caçarola Grande de Alumínio N50 41,2L - ABC",0.692,526.9,2026-09-23T09:55:15,aceito,,
U013,panan.com.br,https://www.panan.com.br/utilidades/caixa-plastica-61l-com-tampa-branca-bolivar,Caixa Plástica 61L com Tampa Branca - Bolivar,0.655,129.8,2026-09-23T09:57:10,revisar,volume pedida [24.0] e o produto traz [61.0],
