id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U002,platinox.com.br,https://www.platinox.com.br/utensilios/panela/assadeira/assadeira-retangular-55x38x70mm-real-6055,Assadeira Retangular 55x38x7cm - Real 6055,0.494,155.44,2026-09-22T15:09:34,revisar,,
U008,platinox.com.br,https://www.platinox.com.br/utensilios/panela/cacarola/cacarola-aluminio-batido-nr-28-aluminio-jalice-1-01-28,"Caçarola Alumínio Batido Nr 28 5,6l - Alumínio Jalice 1-01-28",0.558,166.56,2026-09-22T15:13:35,revisar,volume pedida [10.0] e o produto traz [5.6],
U009,platinox.com.br,https://www.platinox.com.br/utensilios/panela/cacarola/cacarola-standard-nr-38-20-0l-real-9138,"Caçarola Hotel Standard NR 38 20,4 L - Real 9138",0.573,144.33,2026-09-22T15:14:03,revisar,,
U010,platinox.com.br,https://www.platinox.com.br/utensilios/panela/cacarola/cacarola-standard-nr-45-30-4l-real-9145,"Caçarola Hotel Standard NR 45 30,4L - Real 9145",0.58,244.33,2026-09-22T15:14:25,revisar,,
U011,platinox.com.br,https://www.platinox.com.br/utensilios/panela/cacarola/cacarola-standard-nr-50-40-0l-real-9150,"Caçarola Hotel Standard NR 50 41,2 L - Real 9150",0.668,288.78,2026-09-22T15:14:33,aceito,,
U022,platinox.com.br,https://www.platinox.com.br/utensilios/caldeirao-standard-nr-40-42l-real-9740,"Caldeirão Hotel Standard NR 40 45,8L - Real 9740",0.593,266.56,2026-09-23T10:19:52,revisar,,
U029,platinox.com.br,https://www.platinox.com.br/utensilios/copo-medidor-500ml-ercaplast-2348,Copo Medidor 500ml - ErcaPlast 2348,0.627,6.56,2026-09-23T10:26:15,revisar,,
U030,platinox.com.br,https://www.platinox.com.br/restaurante-e-bar/cubas/cuba-gn-11-40mm-salca-14904,"Cuba GN 1/1 40mm 53x32,5cm - Sem Alça",0.652,66.56,2026-09-23T10:27:05,aceito,,
U031,platinox.com.br,https://www.platinox.com.br/restaurante-e-bar/cubas/cuba-gn-11-40mm-salca-14904,"Cuba GN 1/1 40mm 53x32,5cm - Sem Alça",0.652,66.56,2026-09-23T10:27:35,aceito,,
U044,platinox.com.br,https://www.platinox.com.br/utensilios/talheres/facas/faca-legumesfrutas-inox-4-cabo-branco-premium-24470184-tramontina,Faca Legumes/frutas Inox 4 Cabo Branco Premium 24470/184 - Tramontina,0.527,22.89,2026-09-22T15:31:55,revisar,,
U046,platinox.com.br,https://www.platinox.com.br/utensilios/talheres/facas/faca-chef-10-inox-cabo-branco-pp-premium-24476180-tramontina,Faca Chef 10 Inox Cabo Branco PP Premium 24476/180 - Tramontina,0.532,77.67,2026-09-23T10:39:53,revisar,,
U048,platinox.com.br,https://www.platinox.com.br/utensilios/panela/frigideira/frigideira-teflon-nr-30-cabo-baquelite-real-8730,Frigideira Teflon Nr 30 Cabo Baquelite Real 8730,0.548,99.89,2026-09-23T10:41:26,revisar,,
U053,platinox.com.br,https://www.platinox.com.br/utensilios/utensilios-para-cozinha/placas-de-polietileno/placa-de-polietileno-50x30-azul-claro-chef-work,Tábua Placa de Corte Polietileno PEAD 50x30cm 8mm Azul,0.682,66.56,2026-09-23T10:53:41,revisar,item exige [5] peças e o título do produto não diz quantas vêm,
U055,platinox.com.br,https://www.platinox.com.br/restaurante-e-bar/lixeiras/50-litros/lixeira-50l-retangular-c-pedal-azul-plasticos-13239,Lixeira 50l Retangular C/ Pedal Azul - Lar Plasticos Esgotado :( Avise-me quando chegar Esgotado,0.638,188.78,2026-09-23T10:46:25,revisar,,
U057,platinox.com.br,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.558,744.33,2026-09-23T10:47:15,revisar,volume pedida [5.0] e o produto traz [22.0],
U058,platinox.com.br,https://www.platinox.com.br/utensilios/panelas/pressao/panela-de-pressao-10l-calca-fechamento-externo-eirilar-920,Panela de Pressao 10l c/alca fechamento externo EIRILAR 920,0.694,399.89,2026-09-23T10:47:44,aceito,,
U059,platinox.com.br,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.494,744.33,2026-09-23T10:48:13,revisar,volume pedida [20.0] e o produto traz [22.0],
U060,platinox.com.br,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.494,744.33,2026-09-23T10:48:40,revisar,volume pedida [25.0] e o produto traz [22.0],
U061,platinox.com.br,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.494,744.33,2026-09-23T10:49:07,revisar,volume pedida [30.0] e o produto traz [22.0],
U062,platinox.com.br,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.494,744.33,2026-09-23T10:49:32,revisar,volume pedida [40.0] e o produto traz [22.0],
U063,platinox.com.br,https://www.platinox.com.br/utensilios/utensilios-para-servir/pegador-universal-28-5-cm-gpinox-gp097,"Pegador Universal 28,5 cm - GP INOX GP097",0.766,9.89,2026-09-23T10:49:46,aceito,,
U064,platinox.com.br,https://www.platinox.com.br/utensilios/utensilios-para-cozinha/peneira-inox-18cm-mimo-ap18,Peneira inox 18cm MIMO AP18,0.609,20.51,2026-09-23T10:50:40,revisar,,
U074,platinox.com.br,https://www.platinox.com.br/restaurante-e-bar/cubas/tampa-cuba-gn-13-srecorte-11283,"Tampa para Cuba GN 1/3 32,5x17,6cm - Sem Recorte",0.707,25.44,2026-09-23T10:28:06,aceito,,
U075,platinox.com.br,https://www.platinox.com.br/utensilios/panela/assadeira/assadeira-retangular-60x40x8-cm-real-6060,Assadeira Retangular 60x40x8cm - Real 6060,0.733,188.78,2026-09-22T15:09:58,aceito,,
U078,platinox.com.br,https://www.platinox.com.br/utensilios/panela/assadeira/assadeira-retangular-45x32x6-cm-real-6045,Assadeira Retangular 45x32x6cm - Real 6045,0.733,133.22,2026-09-23T10:03:57,aceito,,
U079,platinox.com.br,https://www.platinox.com.br/utensilios/panela/canecao/canecao-hotel-nr-18-4-5l-cabo-baquelite-real-6018,"Canecão Hotel Nr18 4,5L Baquelite - Real 6018",0.758,77.67,2026-09-22T15:21:32,aceito,,
