id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U017,startatacado.com.br,https://www.startatacado.com.br/caixa-com-tampa-pro-5-0-litros,Caixa com Tampa PRO 5.0 Litros,0.676,23.43,2026-09-22T14:41:35,aceito,,
U020,startatacado.com.br,https://www.startatacado.com.br/caldeirao-color-tampa-de-vidro-nr28,Caldeirão Color Tampa de Vidro NR28,0.511,149.33,2026-09-22T14:42:07,revisar,,
U021,startatacado.com.br,https://www.startatacado.com.br/caldeirao-color-tampa-de-vidro-nr28,Caldeirão Color Tampa de Vidro NR28,0.511,149.33,2026-09-23T09:48:24,revisar,,
U022,startatacado.com.br,https://www.startatacado.com.br/caldeirao-color-tampa-de-vidro-nr28,Caldeirão Color Tampa de Vidro NR28,0.511,149.33,2026-09-23T09:48:52,revisar,,
U023,startatacado.com.br,https://www.startatacado.com.br/caneca-reta-tio-300ml-caneca-de-tio-incrivel,Caneca Reta Tio 300ml,0.556,26.92,2026-09-23T09:49:43,revisar,,
U033,startatacado.com.br,https://www.startatacado.com.br/cuscuzeiro-color-nr,Cuscuzeiro Color NR 16,0.5,43.68,2026-09-22T14:46:21,revisar,,
U034,startatacado.com.br,https://www.startatacado.com.br/cuscuzeiro-color-nr,Cuscuzeiro Color NR 16,0.594,43.68,2026-09-22T14:46:32,revisar,,
U035,startatacado.com.br,https://www.startatacado.com.br/cuscuzeiro-color-nr,Cuscuzeiro Color NR 16,0.5,43.68,2026-09-22T14:46:42,revisar,,
U042,startatacado.com.br,https://www.startatacado.com.br/espremedor-de-batatas,Espremedor de Batatas,0.571,50.06,2026-09-22T14:49:14,revisar,,
U045,startatacado.com.br,https://www.startatacado.com.br/faca-cutelo-8,"Faca Cutelo 8""""",0.537,23.34,2026-09-22T14:49:45,revisar,,
U047,startatacado.com.br,https://www.startatacado.com.br/frigideira-multiuso,Frigideira Multiuso,0.552,52.9,2026-09-22T14:50:06,revisar,,
U048,startatacado.com.br,https://www.startatacado.com.br/frigideira-multiuso,Frigideira Multiuso,0.552,52.9,2026-09-22T14:50:15,revisar,,
U071,startatacado.com.br,https://www.startatacado.com.br/cuscuzeiro-color-nr,Cuscuzeiro Color NR 16,0.5,43.68,2026-09-22T14:46:50,revisar,,
U075,startatacado.com.br,https://www.startatacado.com.br/adesivi-para-parede-cor-aluminio-40cm-x-5-m,Adesivo Para Parede Cor Alumínio 40cm X 5 m,0.644,24.37,2026-09-23T09:35:29,aceito,,
U076,startatacado.com.br,https://www.startatacado.com.br/caldeirao-color-tampa-de-vidro-nr28,Caldeirão Color Tampa de Vidro NR28,0.511,149.33,2026-09-23T09:49:21,revisar,,
U078,startatacado.com.br,https://www.startatacado.com.br/assadeira-retangular-2-9-litros-celebrity,"Assadeira Retangular 2,9 Litros Celebrity",0.525,45.09,2026-09-23T09:36:08,revisar,volume pedida [8.4] e o produto traz [2.9],
