id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U002,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/terminal-aereo-em-aluminio-base-horizontal-500mm-x-1-8pol-x-7-8pol-23700,Terminal aéreo em alumínio base horizontal 500mm x 1-8pol. x 7-8pol. - 23700,0.573,,2026-09-22T14:53:16,revisar,,
U008,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-22T14:56:51,revisar,,
U009,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-22T14:57:16,revisar,,
U010,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-22T14:57:41,revisar,,
U020,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-22T15:03:02,revisar,,
U021,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-23T10:14:58,revisar,,
U022,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-22T15:04:06,revisar,,
U028,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/terminal-aereo-em-aluminio-base-horizontal-500mm-x-1-8pol-x-7-8pol-23700,Terminal aéreo em alumínio base horizontal 500mm x 1-8pol. x 7-8pol. - 23700,0.573,,2026-09-22T15:06:59,revisar,,
U033,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-23T10:26:09,revisar,,
U034,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-22T15:10:07,revisar,,
U045,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/alca-de-ancoragem-aco-inox-5-8-pol-sobrepor-comprimento-45cm-22920,Alça de ancoragem aço inox 5-8 pol. sobrepor comprimento 45cm - 22920,0.511,,2026-09-22T15:15:23,revisar,,
U046,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/porta-de-seguranca-46426,Porta de Segurança - 46426,0.48,,2026-09-23T10:34:01,revisar,,
U055,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/adesivo-para-lixeira-reciclavel-plastico-19299,Adesivo para lixeira reciclável (plástico) - 19299,0.529,,2026-09-22T15:19:39,revisar,,
U065,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/placa-ar-condicionado-mantenha-a-porta-fechada-aluminio-25-x-5cm-23300,Placa ar condicionado mantenha a porta fechada alumínio 25 x 5cm - 23300,0.493,,2026-09-23T10:49:38,revisar,,
U076,zeusdobrasil.com.br,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979,Tampa cega em alumínio para condulete - 25979,0.537,,2026-09-22T15:04:33,revisar,,
