site,plataforma,qtd_aceitos,qtd_a_revisar,itens_que_possui
balancassaoroque.com.br,desconhecida,24,20,U009 - Caçarola tipo hotel industrial nº 38 | U010 - Caçarola tipo hotel industrial nº 45 | U014 - Caixa plástica organizadora com tampa | U020 - Caldeirão tipo hotel industrial nº 30 | U021 - Caldeirão tipo hotel industrial nº 32 | U022 - Caldeirão tipo hotel industrial nº 38 | U027 - Colher plástica escolar confeccionada em polietileno (PE) atóxico | U029 - Copo medidor profissional com capacidade aproximada de 500 ml | U032 - Cumbuca plástica escolar com capacidade aproximada de 450 ml | U042 - Espremedor manual profissional para alho | U046 - Faca profissional tipo chef para corte e preparo geral de alimentos | U047 - Frigideira industrial modelo nº 40 | U048 - Frigideira industrial modelo nº 45 | U056 - Pá tipo remo profissional confeccionada em polietileno de alta densidade (PEAD) atóxico | U057 - Panela de pressão com capacidade aproximada de 5 litros | U058 - Panela de pressão industrial com capacidade aproximada de 10 litros | U059 - Panela de pressão industrial com capacidade aproximada de 20 litros | U060 - Panela de pressão industrial com capacidade aproximada de 25 litros | U061 - Panela de pressão industrial com capacidade aproximada de 30 litros | U062 - Panela de pressão industrial com capacidade aproximada de 35 a 40 litros | U074 - Cuba gastronômica padrão GN 1/2 | U076 - Caldeirão industrial com capacidade aproximada de 10 litros | U077 - Bacia metálica com capacidade aproximada de 5 litros | U079 - Canecão industrial tipo hotel nº 18
panan.com.br,desconhecida,15,35,U002 - Assadeira tipo hotel confeccionada em alumínio de alta resistência | U008 - Caçarola industrial em alumínio com capacidade aproximada de 10 litros | U009 - Caçarola tipo hotel industrial nº 38 | U011 - Caçarola tipo hotel industrial nº 50 | U017 - Caixa plástica para mantimentos | U021 - Caldeirão tipo hotel industrial nº 32 | U022 - Caldeirão tipo hotel industrial nº 38 | U039 - Escorredor de macarrão industrial tipo hotel | U041 - Espátula reta profissional confeccionada em aço inoxidável | U047 - Frigideira industrial modelo nº 40 | U048 - Frigideira industrial modelo nº 45 | U058 - Panela de pressão industrial com capacidade aproximada de 10 litros | U059 - Panela de pressão industrial com capacidade aproximada de 20 litros | U063 - Pegador universal profissional confeccionado em aço inoxidável | U075 - Assadeira retangular profissional confeccionada em alumínio de alta resistência
platinox.com.br,tray,9,17,U011 - Caçarola tipo hotel industrial nº 50 | U030 - Cuba gastronômica padrão GN 1/1 | U031 - Cuba gastronômica padrão GN 1/2 | U058 - Panela de pressão industrial com capacidade aproximada de 10 litros | U063 - Pegador universal profissional confeccionado em aço inoxidável | U074 - Cuba gastronômica padrão GN 1/2 | U075 - Assadeira retangular profissional confeccionada em alumínio de alta resistência | U078 - Assadeira retangular profissional nº 5 | U079 - Canecão industrial tipo hotel nº 18
plasthouse.com.br,woocommerce,8,10,U007 - Bacia plástica quadrada com capacidade aproximada de 18 litros | U013 - Caixa plástica com tampa | U014 - Caixa plástica organizadora com tampa | U015 - Caixa plástica para mantimentos | U016 - Caixa plástica para mantimentos | U017 - Caixa plástica para mantimentos | U018 - Caixa plástica retangular para mantimentos | U019 - Caixa plástica tipo Gourmet
ingaimport.com.br,desconhecida,5,7,U043 - Faca profissional para carnes | U044 - Faca profissional para legumes e frutas | U045 - Faca profissional serrilhada para corte de pães | U046 - Faca profissional tipo chef para corte e preparo geral de alimentos | U063 - Pegador universal profissional confeccionado em aço inoxidável
refrisol.com.br,desconhecida,5,6,U002 - Assadeira tipo hotel confeccionada em alumínio de alta resistência | U046 - Faca profissional tipo chef para corte e preparo geral de alimentos | U057 - Panela de pressão com capacidade aproximada de 5 litros | U059 - Panela de pressão industrial com capacidade aproximada de 20 litros | U075 - Assadeira retangular profissional confeccionada em alumínio de alta resistência
startatacado.com.br,desconhecida,2,14,U017 - Caixa plástica para mantimentos | U075 - Assadeira retangular profissional confeccionada em alumínio de alta resistência
zeusdobrasil.com.br,desconhecida,0,15,
a5importadora.com.br,woocommerce,0,12,
sombrisulequipamentos.com.br,tray,0,7,
atacadovencedor.com,tray,0,5,
123util.com.br,desconhecida,0,3,
dimensional.com.br,vtex,0,3,
astrodistribuidora.com,magento,0,2,
ciatacado.com,woocommerce,0,1,
mor.com.br,vtex,0,1,
multiseg.com.br,desconhecida,0,1,
trepis.com.br,tray,0,1,
afontedistribuidora.log.br,woocommerce,0,0,
agiluniformes.com.br,woocommerce,0,0,
allmixdistribuidora.com.br,desconhecida,0,0,
aluminiosdocesar.com.br,desconhecida,0,0,
amasterepi.com.br,desconhecida,0,0,
aregionalplasticos.com.br,desconhecida,0,0,
atacadonipocenter.com.br,desconhecida,0,0,
atacadonovosol.com.br,desconhecida,0,0,
atacamaringa.com.br,desconhecida,0,0,
avancibrasil.com.br,desconhecida,0,0,
boniattiatacado.com.br,desconhecida,0,0,
bonopack.com.br,desconhecida,0,0,
brutilidades.com.br,woocommerce,0,0,
casacristalina.com.br,desconhecida,0,0,
casaebar.com.br,desconhecida,0,0,
coisaboadistribuidora.pedido.la,desconhecida,0,0,
cominequipamentos.com.br,desconhecida,0,0,
consigaz.com.br,woocommerce,0,0,
costaverdecomex.com.br,desconhecida,0,0,
cristalequipamentos.com.br,desconhecida,0,0,
detrix.com.br,desconhecida,0,0,
dipratos.com.br,desconhecida,0,0,
disandrade.com.br,desconhecida,0,0,
distribuidorastar.com.br,woocommerce,0,0,
dmillenium.com.br,desconhecida,0,0,
dmsepi.com,tray,0,0,
ecommerce.pagelar.com.br,desconhecida,0,0,
episinos.com.br,desconhecida,0,0,
episul.com.br,woocommerce,0,0,
frigo.com.br,desconhecida,0,0,
gastrosul.com.br,woocommerce,0,0,
gpinox.com.br,woocommerce,0,0,
gruplast.com.br,desconhecida,0,0,
grupomedigas.com.br,woocommerce,0,0,
jcbequipamentos.com.br,desconhecida,0,0,
keyimportacao.com.br,woocommerce,0,0,
livpro.com.br,shopify,0,0,
loja.bhzepi.com.br,desconhecida,0,0,
lojaemplasul.com.br,desconhecida,0,0,
lorenzon.com.br,woocommerce,0,0,
lunardistribuidora.com.br,desconhecida,0,0,
macropampa.com,desconhecida,0,0,
medlive.com.br,desconhecida,0,0,
mixatacadista.com.br,desconhecida,0,0,
mmed.com.br,woocommerce,0,0,
multibar.com.br,desconhecida,0,0,
nacionalgas.com.br,desconhecida,0,0,
naxos.net.br,desconhecida,0,0,
obramax.com.br,desconhecida,0,0,
onimport.com.br,desconhecida,0,0,
ordini.com.br,desconhecida,0,0,
originalline.com.br,desconhecida,0,0,
originimportadora.com.br,woocommerce,0,0,
pisebem.com.br,desconhecida,0,0,
premierhome.com.br,woocommerce,0,0,
primoequipamentos.com.br,desconhecida,0,0,
prometalepis.com.br,woocommerce,0,0,
prosuldistribuidora.com.br,woocommerce,0,0,
rainbowoficial.com.br,desconhecida,0,0,
rcaatacadista.com.br,woocommerce,0,0,
realatacado.com.br,desconhecida,0,0,
realequipamentos.com,magento,0,0,
renovacaoporcelanas.com.br,desconhecida,0,0,
riotijucasimportadora.com.br,desconhecida,0,0,
satoatacado.com.br,desconhecida,0,0,
segurancatotal.com.br,desconhecida,0,0,
shoppingdaseguranca.com.br,magento,0,0,
supergasbras.com.br,desconhecida,0,0,
superproatacado.com.br,desconhecida,0,0,
usegas.com.br,desconhecida,0,0,
zerograuequipamentos.com.br,desconhecida,0,0,
