site,plataforma,item,produto_encontrado,score,url_produto
123util.com.br,desconhecida,U012 - Caixa organizadora tipo bandeja,Limpeza e Organização,0.587,https://123util.com.br/produtos/limpeza-e-organizacao
123util.com.br,desconhecida,U023 - Caneca plástica escolar com capacidade aproximada de 300 ml,PROMOÇÃO Caneca cerâmica lisa e estampada 300ml - 9*9cm Código: UD419 Ver produto,0.513,https://123util.com.br/produtos/ceramica/caneca-ceramica-lisa-e-estampada-300ml-99cm/0000361
123util.com.br,desconhecida,U046 - Faca profissional tipo chef para corte e preparo geral de alimentos,"PROMOÇÃO Faca de açougue profissional 10"" 2,3mm - superiore Código: UD617 Ver produto",0.483,https://123util.com.br/produtos/utilidades-domesticas/faca-de-acougue-profissional-10-23mm-superiore/0000275
a5importadora.com.br,woocommerce,U008 - Caçarola industrial em alumínio com capacidade aproximada de 10 litros,Caçarola Parma,0.582,https://a5importadora.com.br/product/cacarola-parma/
a5importadora.com.br,woocommerce,U009 - Caçarola tipo hotel industrial nº 38,Caçarola Parma,0.582,https://a5importadora.com.br/product/cacarola-parma/
a5importadora.com.br,woocommerce,U010 - Caçarola tipo hotel industrial nº 45,Caçarola Parma,0.582,https://a5importadora.com.br/product/cacarola-parma/
a5importadora.com.br,woocommerce,U011 - Caçarola tipo hotel industrial nº 50,Caçarola Parma,0.582,https://a5importadora.com.br/product/cacarola-parma/
a5importadora.com.br,woocommerce,U047 - Frigideira industrial modelo nº 40,Frigideira Orleans,0.571,https://a5importadora.com.br/product/frigideira-orleans/
a5importadora.com.br,woocommerce,U048 - Frigideira industrial modelo nº 45,Frigideira Orleans,0.571,https://a5importadora.com.br/product/frigideira-orleans/
a5importadora.com.br,woocommerce,U057 - Panela de pressão com capacidade aproximada de 5 litros,Panela Parma,0.533,https://a5importadora.com.br/product/panela-parma/
a5importadora.com.br,woocommerce,U058 - Panela de pressão industrial com capacidade aproximada de 10 litros,Panela Parma,0.533,https://a5importadora.com.br/product/panela-parma/
a5importadora.com.br,woocommerce,U059 - Panela de pressão industrial com capacidade aproximada de 20 litros,Panela Parma,0.533,https://a5importadora.com.br/product/panela-parma/
a5importadora.com.br,woocommerce,U060 - Panela de pressão industrial com capacidade aproximada de 25 litros,Panela Parma,0.533,https://a5importadora.com.br/product/panela-parma/
a5importadora.com.br,woocommerce,U061 - Panela de pressão industrial com capacidade aproximada de 30 litros,Panela Parma,0.533,https://a5importadora.com.br/product/panela-parma/
a5importadora.com.br,woocommerce,U062 - Panela de pressão industrial com capacidade aproximada de 35 a 40 litros,Panela Parma,0.533,https://a5importadora.com.br/product/panela-parma/
astrodistribuidora.com,magento,U053 - Kit de tábuas profissionais para corte de alimentos,angote de Proteção Resistente a Corte SpecVdB 50 cm Volk 1,0.669,https://www.astrodistribuidora.com/mangote-de-protecao-resistente-a-corte-specvdb-50-cm-volk-ca-36870
