dominio,nome,url_base,uf,cnpj,cnae_principal,cnaes_secundarios,situacao_cadastral,eh_atacadista,flag_atacarejo,entrega_sul,plataforma,modo_frete,status,motivo,origem,url_busca,seletor_busca
123util.com.br,Conceito Importadora,https://123util.com.br,,17824119000181,4693100,4530701|4641901|4641903|4642701|4647801|4649402|4649499|4689302|4754701|4754703|5211799|5212500|6810202|8211300,ATIVA,sim,nao,,desconhecida,,APROVADO,CNAE principal 4693100 (atacado),lista_sites.xlsx :: Utensílios,,#search_input
a5importadora.com.br,A5 Importadora,https://a5importadora.com.br,,33666474000126,4649499,4649401|4649402|4649404|4753900|4754701|4930202,ATIVA,sim,nao,,woocommerce,,APROVADO,CNAE principal 4649499 (atacado),lista_sites.xlsx :: Utensílios,,
afontedistribuidora.log.br,A Fonte Distribuidora,https://afontedistribuidora.log.br,,34425521000102,4649499,4619200,ATIVA,sim,nao,,woocommerce,,APROVADO,CNAE principal 4649499 (atacado),lista_sites.xlsx :: Utensílios,,
agiluniformes.com.br,Agil Confeccoes e Comercio de Uniformes Ltda (Agil Uniformes),https://agiluniformes.com.br,PR,62783106000166,4784900,4642702|4649402|4723700,ATIVA,nao,sim,,woocommerce,,APROVADO,varejo 4784900 com CNAE 46 secundário (atacarejo),lista_sites.xlsx :: UNIFORME,,
agourmetutilidades.com.br,A Gourmet - A Casa dos Chefes,https://agourmetutilidades.com.br,,15516210000104,4759899,4530703|4541206|4744001|4751201|4752100|4753900|4754703|4756300|4763601|4763605|4781400|4783102|4789007|4789008|4789099,ATIVA,nao,sim,,desconhecida,,APROVADO,varejo 4759899 aceito por decisão do grupo (classe 47598),lista_sites.xlsx :: Utensílios,,
allmixdistribuidora.com.br,Allmix,https://www.allmixdistribuidora.com.br,,08248561000388,4689399,4623109|4649401|4649499|4651601|4665600|4669999|4672900|7490199,ATIVA,sim,nao,,desconhecida,,APROVADO,CNAE principal 4689399 (atacado),lista_sites.xlsx :: Utensílios,,#search_query_top
aluminiosceara.com.br,Alumínios Ceará,https://aluminiosceara.com.br,,27937828000127,2532201,2593400|4755502|4755503,ATIVA,nao,nao,,desconhecida,,REPROVADO,CNAE principal 2532201 fora do comércio,lista_sites.xlsx :: Utensílios,,
aluminiosdocesar.com.br,Alumínios Docesar,https://aluminiosdocesar.com.br,,81493363000108,4649499,4930202|4642701|4641903,ATIVA,sim,nao,,desconhecida,,APROVADO,CNAE principal 4649499 (atacado),lista_sites.xlsx :: Utensílios,,
amasterepi.com.br,A Master EPI,https://www.amasterepi.com.br,PR,16603654000140,4642702,3312102|4643501|4646002|4649401|4649408|4669999|4679699|4744001|4761003|4772500|4789099|7112000|7119704|7490199|7739002|7739099|8599604,ATIVA,sim,nao,,desconhecida,,APROVADO,CNAE principal 4642702 (atacado),lista_sites.xlsx :: EPI,https://www.amasterepi.com.br/busca?q={termo},#inputBusca
aregionalplasticos.com.br,A Regional Plásticos,https://aregionalplasticos.com.br,,11825665000150,4649499,4619200|4689399|4641902|4642701|4643501|4679699|4661300|4759899|4744099|3321000|4614100,ATIVA,sim,nao,,desconhecida,,APROVADO,CNAE principal 4649499 (atacado),lista_sites.xlsx :: Utensílios,,
