id_item,categoria,grupo_insumo,item_curto,descricao,termos_busca
306,EPI,AVENTAL,Avental pvc impermeavel com forro 120 cm x 65 cm branco ca 28.303 brascamp 1unidade,AVENTAL PVC IMPERMEAVEL COM FORRO 120 CM X 65 CM BRANCO CA 28.303 BRASCAMP 1UNIDADE COMERCIALIZADO EM UNIDADE,avental 120 cm | avental pvc impermeavel | avental
318N,EPI,AVENTAL,Avental térmico de segurança para proteção do tronco e membros superiores contra calor e,"Avental térmico de segurança para proteção do tronco e membros superiores contra calor e contato com superfícies aquecidas, confeccionado em tecido aluminizado ou tecido térmico com tratamento retardante à chama, com forro isolante interno, comprimento mínimo de 1,00 m, largura mínima de 0,70 m, tiras reforçadas para ajuste na cintura e pescoço, resistente ao calor radiante e ao calor de contato, destinado às atividades de operação de fornos, chapas, caldeirões e manipulação de recipientes aquecidos.",avental termico seguranca | avental
311,EPI,LUVA,Luva anticorte malha de aco aco inoxidavel 5 dedos ambidestra montado starrett 1unidade,LUVA ANTICORTE MALHA DE ACO ACO INOXIDAVEL 5 DEDOS AMBIDESTRA MONTADO STARRETT 1UNIDADE COMERCIALIZADO EM UNIDADE,luva inox | luva anticorte malha | luva
312,EPI,LUVA,Luva termica baixa temperatura vaqueta e nylon com manta termica azul marinho tamanho,LUVA TERMICA BAIXA TEMPERATURA VAQUETA E NYLON COM MANTA TERMICA AZUL MARINHO TAMANHO UNICO 5 DEDOS QUALIFLEX 1PAR COMERCIALIZADO EM UNIDADE,luva nylon | luva termica baixa | luva
317N,EPI,LUVA,Luva de borracha nitrílica,"Luva de borracha nitrílica, palma antiderrapante, espessura mínima de 0,38 mm, resistente a detergentes e sanitizantes, comprimento mínimo de 30 cm, com Certificado de Aprovação (CA).","luva 0.38 mm | luva borracha nitrilica, | luva"
294,EPI,MASCARA,Mascara descartavel tnt polipropileno com elastico branca brasmo 100unidade,MASCARA DESCARTAVEL TNT POLIPROPILENO COM ELASTICO BRANCA BRASMO 100UNIDADE COMERCIALIZADO EM PACOTE,mascara polipropileno | mascara descartavel tnt | mascara
314,EPI,OCULOS,Oculos de protecao antiembacante e antirrisco lente em policarbonato incolor armacao em,OCULOS DE PROTECAO ANTIEMBACANTE E ANTIRRISCO LENTE EM POLICARBONATO INCOLOR ARMACAO EM PVC FLEXIVEL PROTECAO UV VENTILACAO INDIRETA ELASTICO STEELPRO SWAT STEELFLEX 1UNIDADE COMERCIALIZADO EM UNIDADE,oculos policarbonato | oculos protecao antiembacante | oculos
313,EPI,PROTECAO AUDITIVA,Protetor auricular plugue silicone cordao de poliester 17db 800228 camper 50par,PROTETOR AURICULAR PLUGUE SILICONE CORDAO DE POLIESTER 17DB 800228 CAMPER 50PAR COMERCIALIZADO EM PACOTE,protecao auditiva silicone | protetor auricular plugue | protecao auditiva
304,EPI,TOUCA,Touca protetora de cabelo em rede poliamida preto brasil epi 1unidade comercializado em,TOUCA PROTETORA DE CABELO EM REDE POLIAMIDA PRETO BRASIL EPI 1UNIDADE COMERCIALIZADO EM UNIDADE,touca protetora cabelo | touca
316N,EPI,TOUCA,Touca sanitária confeccionada em tecido ou TNT,"Touca sanitária confeccionada em tecido ou TNT, totalmente fechada, cobrindo integralmente os cabelos, com elástico embutido, cor clara e preferencialmente descartável, tamanho único. Atender às Boas Práticas de Manipulação.",touca sanitaria confeccionada | touca
1,EQUIPAMENTO,BALANÇA,Balança digital de precisão,"Balança digital de precisão, capacidade máxima de 30 kg, resolução compatível com a capacidade do equipamento, display LCD de fácil leitura, prato em aço inoxidável, gabinete em plástico ABS de alta resistência, funções de tara e zero, alimentação elétrica bivolt automático (100–240 V, 50/60 Hz), consumo aproximado de 10 W e bateria interna recarregável, destinada à pesagem de ingredientes e insumos","balanca 30 kg | balanca inox | balanca digital precisao, | balanca"
2,EQUIPAMENTO,BALANÇA,Balança eletrônica digital de plataforma com coluna,"Balança eletrônica digital de plataforma com coluna, capacidade máxima de 150 kg, divisão máxima de 100 g, plataforma em aço inoxidável com dimensões mínimas de 300 × 400 mm, estrutura em aço carbono com pintura industrial ou aço inox, visor digital com no mínimo 5 dígitos instalado em coluna, funções Zero e Tara, bateria interna recarregável, rodízios para movimentação, equipamento certificado pelo INMETRO (Classe III), destinada à pesagem e conferência de gêneros alimentícios - Alimentação 220 V",balanca 150 kg | balanca inox | balanca eletronica digital | balanca
3,EQUIPAMENTO,BATEDEIRA,Batedeira planetária industrial,"Batedeira planetária industrial, capacidade de 12 litros, estrutura em aço carbono com acabamento em pintura epóxi, cuba removível em aço inoxidável, sistema planetário de mistura, controle de velocidade, acompanha batedores tipo globo, raquete e gancho, grade de proteção e dispositivos de segurança conforme NR-12, alimentação elétrica 220 V, - Potência elétrica: 1/2 CV (≈ 368 W)","batedeira 12 l | batedeira inox | batedeira planetaria industrial, | batedeira"
33,EQUIPAMENTO,BATEDEIRA,Batedeira planetária industrial,"Batedeira planetária industrial, capacidade aproximada de 6 litros, estrutura em aço carbono com acabamento em pintura epóxi, cuba removível em aço inoxidável, sistema planetário de mistura, controle de velocidade, acompanha batedores tipo globo, raquete e gancho, grade de proteção e dispositivos de segurança conforme NR-12, alimentação elétrica 220 V.","batedeira 6 l | batedeira inox | batedeira planetaria industrial, | batedeira"
4,EQUIPAMENTO,BATEDEIRA,Batedeira planetária industrial,"Batedeira planetária industrial, capacidade mínima de 38 litros, estrutura em aço carbono com pintura epóxi ou aço inoxidável, cuba removível em aço inoxidável AISI 304, sistema planetário de mistura, mínimo de 4 velocidades, batedores tipo globo, raquete e gancho, dispositivos de segurança conforme NR-12, alimentação 220 V monofásica - Potência elétrica mínima: 1,5 cv (≈1.100 W)","batedeira 38 l | batedeira inox | batedeira planetaria industrial, | batedeira"
