id_item,categoria,grupo_insumo,item_curto,descricao
G001,COMBUSTÍVEL,GLP,Gás refino de petróleo,"GÁS REFINO DE PETRÓLEO, TIPO: GÁS LIQUEFEITO DE PETRÓLEO - GLP , USO: INDUSTRIAL, botijão de 45 kg"
G002,COMBUSTÍVEL,GLP,Gás refino de petróleo,"GÁS REFINO DE PETRÓLEO, TIPO: GÁS LIQUEFEITO DE PETRÓLEO - GLP , USO: INDUSTRIAL, somente a carga (refil)"
G003,COMBUSTÍVEL,GLP,Gás refino de petróleo,"GÁS REFINO DE PETRÓLEO, TIPO: GÁS LIQUEFEITO DE PETRÓLEO - GLP , USO: INDUSTRIAL"
G004,COMBUSTÍVEL,GLP,Gás refino de petróleo,"GÁS REFINO DE PETRÓLEO, TIPO: GÁS LIQUEFEITO DE PETRÓLEO - GLP , USO: DOMÉSTICO - botijão de 13 kg"
G005,COMBUSTÍVEL,GLP,Gás refino de petróleo,"GÁS REFINO DE PETRÓLEO, TIPO: GÁS LIQUEFEITO DE PETRÓLEO - GLP , USO: DOMÉSTICO, botijão de 45 kg"
G006,COMBUSTÍVEL,GLP,Gás refino de petróleo,"GÁS REFINO DE PETRÓLEO, TIPO: GÁS LIQUEFEITO DE PETRÓLEO - GLP , USO: DOMÉSTICO - sómente a carga (refil) - kg"
G007,COMBUSTÍVEL,GLP,Botijão para gás,"BOTIJÃO PARA GÁS, USO: DOMÉSTICO , CAPACIDADE: CERCA DE 45 KG, ACESSÓRIOS: COM VÁLVULA E MECANISMO DE SEGURANÇA"
G008,COMBUSTÍVEL,GLP,Botijão para gás,"BOTIJÃO PARA GÁS, USO: DOMÉSTICO , CAPACIDADE: CERCA DE 13 KG, ACESSÓRIOS: COM VÁLVULA E MECANISMO DE SEGURANÇA"
G009,COMBUSTÍVEL,GLP,Botijão para gás,"BOTIJÃO PARA GÁS, USO: INDUSTRIAL , CAPACIDADE: CERCA DE 45 KG, ACESSÓRIOS: COM VÁLVULA E MECANISMO DE SEGURANÇA"
296,SAÚDE OCUPACIONAL,EXAMES OCUPACIONAIS,Atestado de saude ocupacional exame periodico semtrab 1unidade comercializado em unidade,ATESTADO DE SAUDE OCUPACIONAL EXAME PERIODICO SEMTRAB 1UNIDADE COMERCIALIZADO EM UNIDADE
297,SAÚDE OCUPACIONAL,EXAMES OCUPACIONAIS,Atestado de saude ocupacional exame admissional semtrab 1unidade comercializado em unidade,ATESTADO DE SAUDE OCUPACIONAL EXAME ADMISSIONAL SEMTRAB 1UNIDADE COMERCIALIZADO EM UNIDADE
298,SAÚDE OCUPACIONAL,EXAMES OCUPACIONAIS,Atestado de saude ocupacional exame demissional semtrab 1unidade comercializado em unidade,ATESTADO DE SAUDE OCUPACIONAL EXAME DEMISSIONAL SEMTRAB 1UNIDADE COMERCIALIZADO EM UNIDADE
