empresa,uf,cidade,cnpj,cnae_principal,status_planilha
Zanetti Distribuidora,SC,Chapecó,05746894000187,4641903,PENDENTE SITE
Wellmix,SC,Navegantes,09517464000306,4649499,PENDENTE SITE
Atacado Mix,PR,Londrina,36654786000108,4649499,PENDENTE - SEM SITE
Preço Único Distribuidora,RS,Canguçu,10171893000191,4649499,PENDENTE - SEM SITE
U.D. Importação e Comércio Atacadista,SC,Laguna,32908249000196,4649499,PENDENTE - SEM SITE
VG Comércio Atacadista de Utilidades Domésticas,SC,Palhoça / Blumenau,29791211000171000252,4649499,PENDENTE - SEM SITE
Importadora Cascavel,PR/SC,Cascavel / Itajaí,10257550000144000306,,PENDENTE SITE
Casart,SC,Maravilha,27919470000100,,EXCLUÍDO - CNAE PRINCIPAL
Conesul,RS/SC/PR,Caxias do Sul / Lages / Ibiporã,,,PENDENTE CNAE/SITE
Pelasti,SC,Palhoça,,,EXCLUÍDO - NÃO ATACADISTA PURO
Michigan Distribuidora de Utilidades,PR,Curitiba,08930873000105,4649499,PENDENTE - SEM SITE
Campeão Distribuidora,PR,Londrina,,,PENDENTE CNPJ/SITE
Compra Fácil Distribuidora,SC,Blumenau,43851953000176,4649499,EXCLUÍDO - ECOMMERCE B2B
Distribuidora 2D,RS,Santa Cruz do Sul,07353181000189,4693100,PENDENTE SITE
Mafra Distribuidora,RS,Santa Clara do Sul,,4649499,EXCLUÍDO - COBERTURA
Quality House / QHouse,SC,Itajaí,,4649499,PENDENTE ENTREGA
Nino Utilidades Domésticas,RS,Vera Cruz,09231544000139,4649499,PENDENTE - SEM SITE
K&M Import's,SC,Itajaí,,4649499,PENDENTE - SEM SITE
Orion Comércio de Produtos Plásticos,RS,Passo Fundo,01179189000194,4649499,PENDENTE - SEM SITE
Mix Utilidades Domésticas,PR,Toledo,,4693100,PENDENTE - SEM SITE
Atalaia POA,RS,Porto Alegre,13912240000104,4649499,PENDENTE - SEM SITE
Aliança Brasil Comércio de Utilidades Domésticas,SC,Chapecó,,4649499,PENDENTE SITUAÇÃO
Mellow Home,PR,Curitiba,43095537000195,4649499,PENDENTE SITE
Orgon Utilidades Domésticas,RS/PR,Santa Cruz do Sul / Foz do Iguaçu,45704417000173,4649499,PENDENTE - SEM SITE
Seda Flor Utilidades Domésticas,PR,Francisco Beltrão,,4649499,PENDENTE SITE
Atacado Libardi,RS,Porto Alegre,06118203000163,4649499,EXCLUÍDO - ECOMMERCE B2B
Fogo Azul Sul,PR,Curitiba,,4649401,PENDENTE - SEM SITE
Casa Plena,SC,Joinville,,4649499,PENDENTE - SEM SITE
Crisvel Utilidades,PR,Cascavel,19710646000190,4649499,PENDENTE SITE
Crisgla Utilidades Domésticas,RS,Caxias do Sul,22831156000157,4649499,PENDENTE - SEM SITE
Universo Comércio de Utilidades Domésticas,RS,Caxias do Sul,07581246000143,4649499,PENDENTE - SEM SITE
Forte Sinal Equipamentos,PR,Arapongas,26729755000115,4649499,PENDENTE SITE
Dalla Valle Real,PR,Pato Branco,05487048000190,4649499,PENDENTE - SEM SITE
Guarulhos Utilidades,RS,Canguçu,,4649499,PENDENTE - SEM SITE
Brinquers,RS,Canguçu,,4649499,PENDENTE - SEM SITE
Focus Atacadista,,,,4649499,EXCLUÍDO - ECOMMERCE B2B
JK Casa & Lazer,SC,Itajaí,52918254000197,4649499,PENDENTE SITE
Londricasa,PR,Londrina,,4649499,PENDENTE SITE
Kyrios,PR/SC,Barracão / filial SC,,4649499,BAIXA PRIORIDADE
Vemax Utilidades Domésticas,PR,Maringá,58348021000263,4649499,PENDENTE - SEM SITE
2Super Marca,PR,Londrina,61581572000104,4649499,PENDENTE - SEM SITE
MacroPeças,RS,Porto Alegre,,,RESERVA
Chef Line Inox,SC,Itajaí,,,EXCLUÍDO - ECOMMERCE B2B
Imprav,SC,Florianópolis,,4530701,EXCLUÍDO - CNAE PRINCIPAL
PR Distribuidora,PR,Quatiguá,,4754701,EXCLUÍDO - CNAE PRINCIPAL
Laundry Sul,PR,Curitiba,,4665600,EXCLUÍDO - CNPJ INAPTO
Multilon Atacado,PR,Ibiporã,,4713002,EXCLUÍDO - CNAE PRINCIPAL
RS Distribuidora de Plásticos,RS,,12024639000196,,REVALIDAR CNAE PRINCIPAL
M&M Martins,SC,São José,,,EXCLUÍDO - CNPJ SUSPENSO
Águia Distribuidora,SC,Pinhalzinho,,4742300,EXCLUÍDO - CNAE PRINCIPAL
Nix House,SP,,,,EXCLUÍDO - FORA DA REGIÃO
Elmo,,,,,EXCLUÍDO - ECOMMERCE
Gubi,,,,,EXCLUÍDO - ECOMMERCE B2B
SELFA,PR,Curitiba,,4649499,EXCLUÍDO - ECOMMERCE
Almar,,,,,EXCLUÍDO - ECOMMERCE
Home & More,SC,Itajaí,33498416000211,4649499,PENDENTE / RISCO MARKETPLACE
Mapfit,SC,Itajaí,33463510000154,4649499,EXCLUÍDO - ECOMMERCE / BAIXA ADERÊNCIA
Join Trading,SC,Itajaí,35194534000180,4649499,PENDENTE SITE
Obba Brasil Utilidades,RS,,,,EXCLUÍDO - CNPJ INAPTO
Utilar Distribuidora,PR,Maringá,,4759899,EXCLUÍDO - CNAE PRINCIPAL
Tripacon,PR,Curitiba,81660490000154,47890,EXCLUÍDO - CNAE PRINCIPAL
Konmaq,,,22719543000104,4753900,EXCLUÍDO - CNAE PRINCIPAL / ECOMMERCE
A Exclusiva,,,07080597000170,,EXCLUÍDO - CNAE PRINCIPAL
Lunar Distribuidora,RS,Pelotas,02904113000147,4637199,EXCLUÍDO - CNAE PRINCIPAL NÃO RELEVANTE
GastroMax,,,,,EXCLUÍDO - CNAE/ECOMMERCE
Exclusiva Inox,SC,Itajaí,01970132000109,4665600,PENDENTE SITE
AlShop B2B,PR,Francisco Beltrão,,,PENDENTE CNPJ
Alumínio 5 Estrelas,PR,,,,EXCLUÍDO - FABRICANTE
Casavita,,,,,LEAD NÃO CONSOLIDADO
DDG Comércio e Importação,PR,,,4649499,BAIXA PRIORIDADE
Bert Distribuidora,PR,,,4649499,LEAD FISCAL
URSA Utilidades Domésticas,SC,,,4649499,LEAD FISCAL
