dominio,quando,motivo
ecommerce.pagelar.com.br,2026-09-22T14:00:55,status 403
obramax.com.br,2026-09-22T14:07:10,status 403
casaebar.com.br,2026-09-22T14:07:12,status 403
ecommerce.pagelar.com.br,2026-09-22T14:07:31,status 403
coisaboadistribuidora.pedido.la,2026-09-22T14:08:48,status 429
obramax.com.br,2026-09-22T14:27:27,status 403
macropampa.com,2026-09-22T14:29:29,status 403
superproatacado.com.br,2026-09-22T15:11:23,status 403
zerograuequipamentos.com.br,2026-09-22T15:25:04,status 403
ecommerce.pagelar.com.br,2026-09-23T08:31:02,status 403
ecommerce.pagelar.com.br,2026-09-23T08:42:49,status 403
coisaboadistribuidora.pedido.la,2026-09-23T08:54:28,status 429
obramax.com.br,2026-09-23T09:19:24,status 403
lorenzon.com.br,2026-09-23T09:56:34,status 403
superproatacado.com.br,2026-09-23T10:13:36,status 403
zerograuequipamentos.com.br,2026-09-23T10:49:51,status 403
